Wave Number,A_100 c,A_50 a,A_50 b,A_50 c,B_100 a,B_100 b,B_100 c,B_50 b,B_50 c,D_100 a,D_100 c,D_50 a,D_50 b,D_50 c,M_100 b,M_100 c,M_50 a,M_50 c,T2_100 a,T2_100 b,T2_100 c,T2_25 a,T2_25 b,T2_25 c,T2_50 b,T2_50 c,T2_75 b,T2_75 c,T_100 a,T_100 b,T_100 c,T_25 a,T_25 b,T_25 c,T_50 a,T_50 b,T_50 c,T_75 a,T_75 b,T_75 c,V1_0 a,V1_0 b,V2_0 d,V2_0 e,V2_0 f,V_0 a,V_0 b,V_0 c
2458.064,4.811702,2.957702,3.074845,3.245228,4.76561,4.1494,5.355926,2.685485,3.622875,9.184429,8.218108,4.422178,4.476389,5.029367,10.59013,10.9,6.567617,6.79924,6.163694,5.544062,4.789276,2.494571,1.892934,1.411267,2.969656,2.498252,4.441144,3.717486,5.6,6.29,5.31,1.69,1.95,1.19,2.63,2.76,2.57,4.21,4.02,3.46,1.759673,0.4897041,1.399404,1.604637,2.512495,1.91,1.54,2.31
2459.028,4.782588,3.056575,3.226412,3.21351,4.617997,4.204278,5.413723,2.808966,3.686573,9.278723,8.313493,4.35322,4.512421,5.004195,10.50847,10.9,6.598029,6.873656,5.941543,5.617827,4.908619,2.55296,1.946829,1.533902,2.939677,2.491013,4.468551,3.751234,5.56,6.29,5.36,1.61,1.85,1.16,2.8,2.63,2.5,4.12,4.02,3.52,1.76184,0.4261273,1.375508,1.579006,2.537859,2,1.71,2.21
2459.992,4.808187,3.148502,3.383061,3.217915,4.544868,4.289307,5.445084,2.952028,3.728027,9.343226,8.405459,4.312018,4.553852,4.994579,10.42741,10.9,6.620009,6.929866,5.764552,5.630176,5.049885,2.588058,1.998362,1.653672,2.922621,2.500288,4.431387,3.799099,5.55,6.19,5.41,1.55,1.72,1.13,2.97,2.5,2.48,4.01,4.02,3.63,1.757493,0.3949797,1.383174,1.594049,2.57533,2.09,1.9,2.11
2460.957,4.888856,3.221858,3.527529,3.256896,4.552983,4.398204,5.435079,3.08339,3.737951,9.378548,8.497136,4.298946,4.615338,4.994424,10.38413,10.9,6.619458,6.949882,5.657396,5.597476,5.192866,2.605891,2.028914,1.768495,2.932363,2.53691,4.344354,3.854853,5.59,6.05,5.45,1.52,1.6,1.13,3.11,2.37,2.52,3.9,4.03,3.78,1.741171,0.3918409,1.411908,1.640751,2.629391,2.18,2.08,2.02
2461.921,5.015255,3.267842,3.645057,3.326801,4.632301,4.517044,5.375759,3.170632,3.711001,9.392114,8.586791,4.306567,4.702558,4.998415,10.40461,10.9,6.590309,6.926813,5.626686,5.549459,5.317076,2.608974,2.030697,1.87814,2.974619,2.605553,4.227113,3.908195,5.67,5.9,5.48,1.51,1.51,1.16,3.2,2.27,2.6,3.79,4.04,3.92,1.7157,0.4189442,1.450564,1.70586,2.697106,2.24,2.22,1.94
2462.885,5.171458,3.281516,3.724814,3.420196,4.76019,4.627582,5.270382,3.190532,3.648458,9.394742,8.666969,4.32303,4.806516,5.005335,10.49629,10.9,6.538195,6.867867,5.659125,5.518416,5.408027,2.596696,2.007532,1.978596,3.043387,2.701854,4.097831,3.947892,5.8,5.79,5.52,1.52,1.46,1.25,3.23,2.2,2.71,3.72,4.05,4.04,1.690964,0.4750779,1.492753,1.778067,2.768942,2.25,2.3,1.9
2463.849,5.340231,3.264954,3.76082,3.525878,4.908103,4.712705,5.134071,3.137734,3.559558,9.396353,8.725875,4.336416,4.904688,5.019923,10.64654,10.9,6.479709,6.792199,5.724706,5.528998,5.462316,2.567713,1.970935,2.061241,3.122136,2.813098,3.968624,3.969203,5.93,5.75,5.57,1.55,1.45,1.39,3.21,2.15,2.82,3.66,4.05,4.12,1.679255,0.5447562,1.538593,1.850365,2.832221,2.21,2.31,1.87
2464.813,5.507327,3.228935,3.752474,3.631305,5.048422,4.761503,4.990719,3.027439,3.459882,9.402542,8.750856,4.338318,4.968585,5.05184,10.82702,11,6.437055,6.725114,5.785958,5.591935,5.488407,2.522708,1.934347,2.116799,3.189779,2.922274,3.844004,3.979967,6.04,5.77,5.64,1.6,1.46,1.57,3.16,2.13,2.91,3.64,4.04,4.14,1.689968,0.6079818,1.59183,1.919358,2.875533,2.12,2.25,1.85
2465.778,5.662509,3.190449,3.704418,3.7255,5.159968,4.771784,4.867693,2.890358,3.366429,9.413156,8.732757,4.325925,4.974754,5.111172,11.00202,11,6.430129,6.691457,5.81023,5.702421,5.501822,2.466043,1.908017,2.139997,3.228954,3.013322,3.722855,3.999997,6.1,5.83,5.72,1.65,1.49,1.78,3.09,2.14,2.96,3.65,4.01,4.12,1.726128,0.6532084,1.653706,1.984077,2.892284,2.03,2.14,1.84
2466.742,5.797821,3.166999,3.625649,3.800371,5.230992,4.749139,4.789857,2.762199,3.291196,9.422964,8.669579,4.302653,4.914893,5.202109,11.13775,11.1,6.469477,6.709873,5.779433,5.842461,5.516589,2.405638,1.89631,2.131492,3.232527,3.075362,3.603519,4.053612,6.1,5.91,5.81,1.7,1.55,1.98,3.03,2.16,2.97,3.68,3.98,4.07,1.7829,0.6799946,1.716977,2.045048,2.882108,1.96,1.99,1.81
